hazard_type,return_period,scenario,horizon,water_level_m,scaling_factor,scaling_method,source_note,coastal_delta_m,coastal_delta_conversion,coastal_source_url
coastal,2,SSP5-8.5,2020,2.5255,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,5,SSP5-8.5,2020,2.6495,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,10,SSP5-8.5,2020,2.7185,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,25,SSP5-8.5,2020,2.7925,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,50,SSP5-8.5,2020,2.8395,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,100,SSP5-8.5,2020,2.8805,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,200,SSP5-8.5,2020,2.9165,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,500,SSP5-8.5,2020,2.9565,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,1000,SSP5-8.5,2020,2.9835,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,2,SSP5-8.5,2020,0.2866,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
