hazard_type,return_period,baseline_water_level_m,source_note,gev_shape,gev_loc_mm,gev_scale_mm,datum_note
coastal,2,1.9587,"UHSLC RQ Vung Tau, Vietnam (ID 257); datum-corrected 31-year GEV: gauge re-zeroed 2002-06 (~2m shift identified from monthly means); combined two single-datum epochs (pre-shift 1986-2001 LTM=3.0607m; post-shift 2003-2018 LTM=1.1249m); raw MLE xi=0.3359 capped to xi_max=0.30; xi=0.3000 mu=0.7563m sigma=0.0823m; msl_to_egm2008_offset=+1.1707m (CNES-CLS22 applied); 2016 Typhoon Sarika surge (1.975m anomaly) confirmed real event; 2002 transition year excluded",0.3,756.3,82.3,source=UHSLC_station_257_datum_corrected_31yr; msl_to_egm2008_offset=+1.1707m (CNES-CLS22); target_datum=EGM2008; pre_shift_ltm=3.0607m; post_shift_ltm=1.1249m; datum_shift_epoch=2002-06; xi_max_cap_applied=0.30; NOTE=do_not_overwrite_with_raw_fetch; regen_requires=fetch_uhslc_gauge.py_with_--datum-break-year_2002
coastal,5,2.0827,"UHSLC RQ Vung Tau, Vietnam (ID 257); datum-corrected 31-year GEV: gauge re-zeroed 2002-06 (~2m shift identified from monthly means); combined two single-datum epochs (pre-shift 1986-2001 LTM=3.0607m; post-shift 2003-2018 LTM=1.1249m); raw MLE xi=0.3359 capped to xi_max=0.30; xi=0.3000 mu=0.7563m sigma=0.0823m; msl_to_egm2008_offset=+1.1707m (CNES-CLS22 applied); 2016 Typhoon Sarika surge (1.975m anomaly) confirmed real event; 2002 transition year excluded",0.3,756.3,82.3,source=UHSLC_station_257_datum_corrected_31yr; msl_to_egm2008_offset=+1.1707m (CNES-CLS22); target_datum=EGM2008; pre_shift_ltm=3.0607m; post_shift_ltm=1.1249m; datum_shift_epoch=2002-06; xi_max_cap_applied=0.30; NOTE=do_not_overwrite_with_raw_fetch; regen_requires=fetch_uhslc_gauge.py_with_--datum-break-year_2002
coastal,10,2.1917,"UHSLC RQ Vung Tau, Vietnam (ID 257); datum-corrected 31-year GEV: gauge re-zeroed 2002-06 (~2m shift identified from monthly means); combined two single-datum epochs (pre-shift 1986-2001 LTM=3.0607m; post-shift 2003-2018 LTM=1.1249m); raw MLE xi=0.3359 capped to xi_max=0.30; xi=0.3000 mu=0.7563m sigma=0.0823m; msl_to_egm2008_offset=+1.1707m (CNES-CLS22 applied); 2016 Typhoon Sarika surge (1.975m anomaly) confirmed real event; 2002 transition year excluded",0.3,756.3,82.3,source=UHSLC_station_257_datum_corrected_31yr; msl_to_egm2008_offset=+1.1707m (CNES-CLS22); target_datum=EGM2008; pre_shift_ltm=3.0607m; post_shift_ltm=1.1249m; datum_shift_epoch=2002-06; xi_max_cap_applied=0.30; NOTE=do_not_overwrite_with_raw_fetch; regen_requires=fetch_uhslc_gauge.py_with_--datum-break-year_2002
coastal,25,2.3687,"UHSLC RQ Vung Tau, Vietnam (ID 257); datum-corrected 31-year GEV: gauge re-zeroed 2002-06 (~2m shift identified from monthly means); combined two single-datum epochs (pre-shift 1986-2001 LTM=3.0607m; post-shift 2003-2018 LTM=1.1249m); raw MLE xi=0.3359 capped to xi_max=0.30; xi=0.3000 mu=0.7563m sigma=0.0823m; msl_to_egm2008_offset=+1.1707m (CNES-CLS22 applied); 2016 Typhoon Sarika surge (1.975m anomaly) confirmed real event; 2002 transition year excluded",0.3,756.3,82.3,source=UHSLC_station_257_datum_corrected_31yr; msl_to_egm2008_offset=+1.1707m (CNES-CLS22); target_datum=EGM2008; pre_shift_ltm=3.0607m; post_shift_ltm=1.1249m; datum_shift_epoch=2002-06; xi_max_cap_applied=0.30; NOTE=do_not_overwrite_with_raw_fetch; regen_requires=fetch_uhslc_gauge.py_with_--datum-break-year_2002
coastal,50,2.5367,"UHSLC RQ Vung Tau, Vietnam (ID 257); datum-corrected 31-year GEV: gauge re-zeroed 2002-06 (~2m shift identified from monthly means); combined two single-datum epochs (pre-shift 1986-2001 LTM=3.0607m; post-shift 2003-2018 LTM=1.1249m); raw MLE xi=0.3359 capped to xi_max=0.30; xi=0.3000 mu=0.7563m sigma=0.0823m; msl_to_egm2008_offset=+1.1707m (CNES-CLS22 applied); 2016 Typhoon Sarika surge (1.975m anomaly) confirmed real event; 2002 transition year excluded",0.3,756.3,82.3,source=UHSLC_station_257_datum_corrected_31yr; msl_to_egm2008_offset=+1.1707m (CNES-CLS22); target_datum=EGM2008; pre_shift_ltm=3.0607m; post_shift_ltm=1.1249m; datum_shift_epoch=2002-06; xi_max_cap_applied=0.30; NOTE=do_not_overwrite_with_raw_fetch; regen_requires=fetch_uhslc_gauge.py_with_--datum-break-year_2002
coastal,100,2.7427,"UHSLC RQ Vung Tau, Vietnam (ID 257); datum-corrected 31-year GEV: gauge re-zeroed 2002-06 (~2m shift identified from monthly means); combined two single-datum epochs (pre-shift 1986-2001 LTM=3.0607m; post-shift 2003-2018 LTM=1.1249m); raw MLE xi=0.3359 capped to xi_max=0.30; xi=0.3000 mu=0.7563m sigma=0.0823m; msl_to_egm2008_offset=+1.1707m (CNES-CLS22 applied); 2016 Typhoon Sarika surge (1.975m anomaly) confirmed real event; 2002 transition year excluded",0.3,756.3,82.3,source=UHSLC_station_257_datum_corrected_31yr; msl_to_egm2008_offset=+1.1707m (CNES-CLS22); target_datum=EGM2008; pre_shift_ltm=3.0607m; post_shift_ltm=1.1249m; datum_shift_epoch=2002-06; xi_max_cap_applied=0.30; NOTE=do_not_overwrite_with_raw_fetch; regen_requires=fetch_uhslc_gauge.py_with_--datum-break-year_2002
coastal,200,2.9957,"UHSLC RQ Vung Tau, Vietnam (ID 257); datum-corrected 31-year GEV: gauge re-zeroed 2002-06 (~2m shift identified from monthly means); combined two single-datum epochs (pre-shift 1986-2001 LTM=3.0607m; post-shift 2003-2018 LTM=1.1249m); raw MLE xi=0.3359 capped to xi_max=0.30; xi=0.3000 mu=0.7563m sigma=0.0823m; msl_to_egm2008_offset=+1.1707m (CNES-CLS22 applied); 2016 Typhoon Sarika surge (1.975m anomaly) confirmed real event; 2002 transition year excluded",0.3,756.3,82.3,source=UHSLC_station_257_datum_corrected_31yr; msl_to_egm2008_offset=+1.1707m (CNES-CLS22); target_datum=EGM2008; pre_shift_ltm=3.0607m; post_shift_ltm=1.1249m; datum_shift_epoch=2002-06; xi_max_cap_applied=0.30; NOTE=do_not_overwrite_with_raw_fetch; regen_requires=fetch_uhslc_gauge.py_with_--datum-break-year_2002
coastal,500,3.4217,"UHSLC RQ Vung Tau, Vietnam (ID 257); datum-corrected 31-year GEV: gauge re-zeroed 2002-06 (~2m shift identified from monthly means); combined two single-datum epochs (pre-shift 1986-2001 LTM=3.0607m; post-shift 2003-2018 LTM=1.1249m); raw MLE xi=0.3359 capped to xi_max=0.30; xi=0.3000 mu=0.7563m sigma=0.0823m; msl_to_egm2008_offset=+1.1707m (CNES-CLS22 applied); 2016 Typhoon Sarika surge (1.975m anomaly) confirmed real event; 2002 transition year excluded",0.3,756.3,82.3,source=UHSLC_station_257_datum_corrected_31yr; msl_to_egm2008_offset=+1.1707m (CNES-CLS22); target_datum=EGM2008; pre_shift_ltm=3.0607m; post_shift_ltm=1.1249m; datum_shift_epoch=2002-06; xi_max_cap_applied=0.30; NOTE=do_not_overwrite_with_raw_fetch; regen_requires=fetch_uhslc_gauge.py_with_--datum-break-year_2002
coastal,1000,3.8307,"UHSLC RQ Vung Tau, Vietnam (ID 257); datum-corrected 31-year GEV: gauge re-zeroed 2002-06 (~2m shift identified from monthly means); combined two single-datum epochs (pre-shift 1986-2001 LTM=3.0607m; post-shift 2003-2018 LTM=1.1249m); raw MLE xi=0.3359 capped to xi_max=0.30; xi=0.3000 mu=0.7563m sigma=0.0823m; msl_to_egm2008_offset=+1.1707m (CNES-CLS22 applied); 2016 Typhoon Sarika surge (1.975m anomaly) confirmed real event; 2002 transition year excluded",0.3,756.3,82.3,source=UHSLC_station_257_datum_corrected_31yr; msl_to_egm2008_offset=+1.1707m (CNES-CLS22); target_datum=EGM2008; pre_shift_ltm=3.0607m; post_shift_ltm=1.1249m; datum_shift_epoch=2002-06; xi_max_cap_applied=0.30; NOTE=do_not_overwrite_with_raw_fetch; regen_requires=fetch_uhslc_gauge.py_with_--datum-break-year_2002
fluvial,2,1.0666,GloFAS v4 Reanalysis via Open-Meteo Flood API (10.98N 106.65E); GEV fit to 28 annual maxima of daily discharge (1997-2024); Manning w=200.0m n=0.035 S=0.00015; xi=0.3000 mu=521.8m3s sigma=153.3m3s; bankfull_subtraction Q=321m3s depth=2.494m,0.3,521.796047256981,153.27148440961724,relative_stage_above_bankfull_m; height_above_normal_water_level_compatible_with_HAND_model
