hazard_type,return_period,scenario,horizon,water_level_m,scaling_factor,scaling_method,source_note,coastal_delta_m,coastal_delta_conversion,coastal_source_url
coastal,2,SSP5-8.5,2050,2.1437,,coastal_delta_additive(delta_m=0.1850),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=1.5C; cc_rate=0.07/C.,0.185,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,5,SSP5-8.5,2050,2.2677,,coastal_delta_additive(delta_m=0.1850),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=1.5C; cc_rate=0.07/C.,0.185,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,10,SSP5-8.5,2050,2.3767,,coastal_delta_additive(delta_m=0.1850),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=1.5C; cc_rate=0.07/C.,0.185,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,25,SSP5-8.5,2050,2.5537,,coastal_delta_additive(delta_m=0.1850),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=1.5C; cc_rate=0.07/C.,0.185,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,50,SSP5-8.5,2050,2.7217000000000002,,coastal_delta_additive(delta_m=0.1850),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=1.5C; cc_rate=0.07/C.,0.185,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,100,SSP5-8.5,2050,2.9277,,coastal_delta_additive(delta_m=0.1850),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=1.5C; cc_rate=0.07/C.,0.185,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,200,SSP5-8.5,2050,3.1807,,coastal_delta_additive(delta_m=0.1850),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=1.5C; cc_rate=0.07/C.,0.185,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,500,SSP5-8.5,2050,3.6067,,coastal_delta_additive(delta_m=0.1850),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=1.5C; cc_rate=0.07/C.,0.185,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,1000,SSP5-8.5,2050,4.0157,,coastal_delta_additive(delta_m=0.1850),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=1.5C; cc_rate=0.07/C.,0.185,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,2,SSP5-8.5,2050,1.2121862902736322,1.061738013728328,"GEV-CC(delta_T=1.5C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=1.5C; cc_rate=0.07/C.,0.185,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
