hazard_type,return_period,scenario,horizon,water_level_m,scaling_factor,scaling_method,source_note,coastal_delta_m,coastal_delta_conversion,coastal_source_url
coastal,2,SSP5-8.5,2100,4.2966,,coastal_delta_additive(delta_m=0.6150),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,5,SSP5-8.5,2100,4.4126,,coastal_delta_additive(delta_m=0.6150),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,10,SSP5-8.5,2100,4.4726,,coastal_delta_additive(delta_m=0.6150),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,25,SSP5-8.5,2100,4.5316,,coastal_delta_additive(delta_m=0.6150),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,50,SSP5-8.5,2100,4.5666,,coastal_delta_additive(delta_m=0.6150),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,100,SSP5-8.5,2100,4.5956,,coastal_delta_additive(delta_m=0.6150),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,200,SSP5-8.5,2100,4.6196,,coastal_delta_additive(delta_m=0.6150),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,500,SSP5-8.5,2100,4.6446000000000005,,coastal_delta_additive(delta_m=0.6150),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,1000,SSP5-8.5,2100,4.6596,,coastal_delta_additive(delta_m=0.6150),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,2,SSP5-8.5,2100,0.9104392223253739,1.1596474618843127,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,5,SSP5-8.5,2100,1.2271389441659797,1.1596474618843127,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,10,SSP5-8.5,2100,1.4504870453248984,1.159647461884313,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,25,SSP5-8.5,2100,1.749096266760109,1.159647461884313,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,50,SSP5-8.5,2100,1.9834610188069284,1.1596474618843127,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,100,SSP5-8.5,2100,2.227450844787388,1.159647461884313,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,200,SSP5-8.5,2100,2.4828052158943135,1.1596474618843127,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,500,SSP5-8.5,2100,2.8398606694084934,1.1596474618843127,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,1000,SSP5-8.5,2100,3.1261776277477304,1.1596474618843127,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,2,SSP5-8.5,2100,0.0256,1.28,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,5,SSP5-8.5,2100,0.051299840000000006,1.28,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,10,SSP5-8.5,2100,0.06831615999999999,1.2799999999999998,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,25,SSP5-8.5,2100,0.08981631999999999,1.28,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,50,SSP5-8.5,2100,0.1057664,1.28,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,100,SSP5-8.5,2100,0.12159871999999998,1.2799999999999998,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,200,SSP5-8.5,2100,0.13737216,1.28,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,500,SSP5-8.5,2100,0.15818367999999997,1.2799999999999998,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,1000,SSP5-8.5,2100,0.17391231999999998,1.28,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.615,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
