sn,query,official_location
1,Prince Philip Avenue,Prince Philip Avenue / Jervois Road
2,Admiralty Road West,Admiralty Road West (from Sembawang Drive to Dock Road West)
3,Java Road,St John's Headquarters at junction of Beach Road and Java Road
4,Bedok South Road,Bedok South Rd (slip road to Bedok South Ave 1)
5,Chin Cheng Avenue,Service road off Changi Road (near Chin Cheng Ave)
6,Commonwealth Drive,Junction of Commonwealth Drive and Commonwealth Ave
7,Moulmein Road,CTE (slip road to Moulmein Road)
8,Derbyshire Road,Derbyshire Road / Cambridge Road / Farrer Park Field
9,Hong Kah,Hong Kah Area
10,Indus Road,Indus Road (from Havelock Road to Ganges Avenue)
11,Jalan Benaan Kapal,Jalan Benaan Kapal
12,Jalan Besar,Jalan Besar Area
13,Jalan Mashor,Jalan Mashor
14,Jalan Mat Jambol,Jalan Mat Jambol
15,Jalan Taman,Jalan Taman
16,King George's Avenue,People's Association HQ at King George's Avenue
17,Langsat Road,Langsat Road Area (from Lor 102 Changi to Lor 106 Changi)
18,Lorong Buangkok,Lorong Buangkok Area
19,Lorong H Telok Kurau,Lorong H Telok Kurau (near canal)
20,Lower Delta Road,State Land at junction of Alexandra Road and Lower Delta Road
21,Margaret Drive,Margaret Drive / Tanglin Road
22,Meyer Road,Meyer Road Area (from Fort Road to Broadrick Road)
23,Mimosa Walk,Mimosa Walk (near canal)
24,Farnborough Road,Mindef's Changi Camp at junction of Changi Village Road and Farnborough Road
25,Jalan Seaview,Service Road off Mountbatten Rd (near Jalan Seaview)
26,Neo Pee Teck Lane,Junction of Neo Pee Teck Lane and Pasir Panjang Road
27,Tanah Merah Kechil Avenue,State Land at junction of New Upper Changi Road and Tanah Merah Kechil Avenue
28,Rose Lane,Rose Lane
29,Second Chin Bee Road,Second Chin Bee Road
30,Siang Kuang Avenue,Sennett Estate (Siang Kuang Avenue / Puay Hee Avenue / Wan Tho Avenue ...)
31,Jalan Teliti,Service road off Tampines Road (near Jalan Teliti)
32,Balmoral Road,Junction of Stevens Road and Balmoral Road
33,Upper Pickering Street,South Bridge Road / Upper Hokien Street / Upper Pickering Street
34,Parbury Avenue,Upper East Coast Road (near Parbury Avenue)
35,Prinsep Street,Waterloo Street / Bencoolen Street / Prinsep Street
36,Zion Road,Former Boys' Brigade HQ at Zion Road
