label,lon,lat,class,documented_depth_m,anchor_rp,source,georef_confidence
Prince Philip Avenue / Jervois Road,103.82100,1.29164,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 1; coords OneMap geocode of 'Prince Philip Avenue',med
Admiralty Road West,103.80273,1.45784,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 2; coords OneMap geocode of 'Admiralty Road West',med
St John's Headquarters at junction of Beach Road and Java Ro,103.86296,1.30140,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 3; coords OneMap geocode of 'Java Road',med
Bedok South Rd,103.93791,1.32029,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 4; coords OneMap geocode of 'Bedok South Road',med
Service road off Changi Road,103.90581,1.31675,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 5; coords OneMap geocode of 'Chin Cheng Avenue',med
Junction of Commonwealth Drive and Commonwealth Ave,103.79722,1.30015,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 6; coords OneMap geocode of 'Commonwealth Drive',med
CTE,103.84856,1.31899,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 7; coords OneMap geocode of 'Moulmein Road',med
Derbyshire Road / Cambridge Road / Farrer Park Field,103.84574,1.31655,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 8; coords OneMap geocode of 'Derbyshire Road',med
Hong Kah Area,103.72256,1.35479,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 9; coords OneMap geocode of 'Hong Kah',med
Indus Road,103.82960,1.29003,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 10; coords OneMap geocode of 'Indus Road',med
Jalan Benaan Kapal,103.88013,1.30192,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 11; coords OneMap geocode of 'Jalan Benaan Kapal',high
Jalan Besar Area,103.85872,1.30978,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 12; coords OneMap geocode of 'Jalan Besar',med
Jalan Mashor,103.83069,1.33373,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 13; coords OneMap geocode of 'Jalan Mashor',high
Jalan Mat Jambol,103.79186,1.27826,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 14; coords OneMap geocode of 'Jalan Mat Jambol',high
Jalan Taman,103.86479,1.32577,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 15; coords OneMap geocode of 'Jalan Taman',high
People's Association HQ at King George's Avenue,103.86007,1.30828,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 16; coords OneMap geocode of 'King George's Avenue',med
Langsat Road Area,103.90276,1.31537,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 17; coords OneMap geocode of 'Langsat Road',med
Lorong Buangkok Area,103.87836,1.38346,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 18; coords OneMap geocode of 'Lorong Buangkok',med
Lorong H Telok Kurau,103.90999,1.31611,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 19; coords OneMap geocode of 'Lorong H Telok Kurau',med
State Land at junction of Alexandra Road and Lower Delta Roa,103.82382,1.28040,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 20; coords OneMap geocode of 'Lower Delta Road',med
Margaret Drive / Tanglin Road,103.80839,1.29682,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 21; coords OneMap geocode of 'Margaret Drive',med
Meyer Road Area,103.89141,1.29715,flood,,50,PUB List of Flood-Prone Areas (Nov 2025) S/N 22; coords OneMap geocode of 'Meyer Road',med
