hazard_type,return_period,baseline_water_level_m,source_note,gev_shape,gev_loc_mm,gev_scale_mm,datum_note
coastal,2,1.596,"UHSLC RQ station 699 (Tanjong Pagar, Singapore); GEV fit to 39 annual maxima of de-meaned hourly sea level (1984-2023); xi=-0.0800, mu=1.5661 m, sigma=0.0825 m",,,,
coastal,5,1.683,"UHSLC RQ station 699 (Tanjong Pagar, Singapore); GEV fit to 39 annual maxima of de-meaned hourly sea level (1984-2023); xi=-0.0800, mu=1.5661 m, sigma=0.0825 m",,,,
coastal,10,1.736,"UHSLC RQ station 699 (Tanjong Pagar, Singapore); GEV fit to 39 annual maxima of de-meaned hourly sea level (1984-2023); xi=-0.0800, mu=1.5661 m, sigma=0.0825 m",,,,
coastal,25,1.799,"UHSLC RQ station 699 (Tanjong Pagar, Singapore); GEV fit to 39 annual maxima of de-meaned hourly sea level (1984-2023); xi=-0.0800, mu=1.5661 m, sigma=0.0825 m",,,,
coastal,50,1.843,"UHSLC RQ station 699 (Tanjong Pagar, Singapore); GEV fit to 39 annual maxima of de-meaned hourly sea level (1984-2023); xi=-0.0800, mu=1.5661 m, sigma=0.0825 m",,,,
coastal,100,1.884,"UHSLC RQ station 699 (Tanjong Pagar, Singapore); GEV fit to 39 annual maxima of de-meaned hourly sea level (1984-2023); xi=-0.0800, mu=1.5661 m, sigma=0.0825 m",,,,
coastal,200,1.922,"UHSLC RQ station 699 (Tanjong Pagar, Singapore); GEV fit to 39 annual maxima of de-meaned hourly sea level (1984-2023); xi=-0.0800, mu=1.5661 m, sigma=0.0825 m",,,,
coastal,500,1.97,"UHSLC RQ station 699 (Tanjong Pagar, Singapore); GEV fit to 39 annual maxima of de-meaned hourly sea level (1984-2023); xi=-0.0800, mu=1.5661 m, sigma=0.0825 m",,,,
coastal,1000,2.004,"UHSLC RQ station 699 (Tanjong Pagar, Singapore); GEV fit to 39 annual maxima of de-meaned hourly sea level (1984-2023); xi=-0.0800, mu=1.5661 m, sigma=0.0825 m",,,,
fluvial,2,1.2642,Singapore PUB 24h IDF-calibrated GEV; xi=0.0500 mu=129.000mm sigma=30.000mm; SCS CN=85.0 A=10.0km2 Tc=0.5h; Manning w=10.0m n=0.04 S=0.002,0.05,129.0,30.0,relative_stage_above_channel_bed_m; no_absolute_datum_required; compatible_with_HAND_model_which_is_also_relative
fluvial,5,1.5103,Singapore PUB 24h IDF-calibrated GEV; xi=0.0500 mu=129.000mm sigma=30.000mm; SCS CN=85.0 A=10.0km2 Tc=0.5h; Manning w=10.0m n=0.04 S=0.002,0.05,129.0,30.0,relative_stage_above_channel_bed_m; no_absolute_datum_required; compatible_with_HAND_model_which_is_also_relative
fluvial,10,1.6684,Singapore PUB 24h IDF-calibrated GEV; xi=0.0500 mu=129.000mm sigma=30.000mm; SCS CN=85.0 A=10.0km2 Tc=0.5h; Manning w=10.0m n=0.04 S=0.002,0.05,129.0,30.0,relative_stage_above_channel_bed_m; no_absolute_datum_required; compatible_with_HAND_model_which_is_also_relative
