hazard_type,return_period,scenario,horizon,water_level_m,scaling_factor,scaling_method,source_note,coastal_delta_m,coastal_delta_conversion,coastal_source_url
coastal,2,SSP5-8.5,2100,2.0545999999999998,,coastal_delta_additive(delta_m=0.6370),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.637,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,5,SSP5-8.5,2100,2.1846,,coastal_delta_additive(delta_m=0.6370),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.637,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,10,SSP5-8.5,2100,2.2645999999999997,,coastal_delta_additive(delta_m=0.6370),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.637,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,25,SSP5-8.5,2100,2.3746,,coastal_delta_additive(delta_m=0.6370),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.637,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,50,SSP5-8.5,2100,2.4546,,coastal_delta_additive(delta_m=0.6370),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.637,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,100,SSP5-8.5,2100,2.5346,,coastal_delta_additive(delta_m=0.6370),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.637,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,200,SSP5-8.5,2100,2.6146000000000003,,coastal_delta_additive(delta_m=0.6370),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.637,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,500,SSP5-8.5,2100,2.7246,,coastal_delta_additive(delta_m=0.6370),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.637,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,1000,SSP5-8.5,2100,2.8046,,coastal_delta_additive(delta_m=0.6370),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.637,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,2,SSP5-8.5,2100,0.6838441082731792,1.1596474618843127,"GEV-CC(delta_T=4.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=4.0C; cc_rate=0.07/C.,0.637,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
