hazard_type,return_period,scenario,horizon,water_level_m,depth_raster,severity_raster,flooded_area_m2,flooded_area_km2,mean_depth_m,max_depth_m,wet_pixels,minor_area_km2,moderate_area_km2,major_area_km2,severe_area_km2
coastal,2,SSP5-8.5,2020,3.6816,outputs\kuala_lumpur_ssp585_2020\coastal\rp_2\coastal_depth_SSP5-8.5_2020_rp2.tif,outputs\kuala_lumpur_ssp585_2020\coastal\rp_2\coastal_severity_SSP5-8.5_2020_rp2.tif,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
coastal,5,SSP5-8.5,2020,3.7976,outputs\kuala_lumpur_ssp585_2020\coastal\rp_5\coastal_depth_SSP5-8.5_2020_rp5.tif,outputs\kuala_lumpur_ssp585_2020\coastal\rp_5\coastal_severity_SSP5-8.5_2020_rp5.tif,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
coastal,10,SSP5-8.5,2020,3.8576,outputs\kuala_lumpur_ssp585_2020\coastal\rp_10\coastal_depth_SSP5-8.5_2020_rp10.tif,outputs\kuala_lumpur_ssp585_2020\coastal\rp_10\coastal_severity_SSP5-8.5_2020_rp10.tif,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
coastal,25,SSP5-8.5,2020,3.9166,outputs\kuala_lumpur_ssp585_2020\coastal\rp_25\coastal_depth_SSP5-8.5_2020_rp25.tif,outputs\kuala_lumpur_ssp585_2020\coastal\rp_25\coastal_severity_SSP5-8.5_2020_rp25.tif,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
coastal,50,SSP5-8.5,2020,3.9516,outputs\kuala_lumpur_ssp585_2020\coastal\rp_50\coastal_depth_SSP5-8.5_2020_rp50.tif,outputs\kuala_lumpur_ssp585_2020\coastal\rp_50\coastal_severity_SSP5-8.5_2020_rp50.tif,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
coastal,100,SSP5-8.5,2020,3.9806,outputs\kuala_lumpur_ssp585_2020\coastal\rp_100\coastal_depth_SSP5-8.5_2020_rp100.tif,outputs\kuala_lumpur_ssp585_2020\coastal\rp_100\coastal_severity_SSP5-8.5_2020_rp100.tif,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
coastal,200,SSP5-8.5,2020,4.0046,outputs\kuala_lumpur_ssp585_2020\coastal\rp_200\coastal_depth_SSP5-8.5_2020_rp200.tif,outputs\kuala_lumpur_ssp585_2020\coastal\rp_200\coastal_severity_SSP5-8.5_2020_rp200.tif,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
coastal,500,SSP5-8.5,2020,4.0296,outputs\kuala_lumpur_ssp585_2020\coastal\rp_500\coastal_depth_SSP5-8.5_2020_rp500.tif,outputs\kuala_lumpur_ssp585_2020\coastal\rp_500\coastal_severity_SSP5-8.5_2020_rp500.tif,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
coastal,1000,SSP5-8.5,2020,4.0446,outputs\kuala_lumpur_ssp585_2020\coastal\rp_1000\coastal_depth_SSP5-8.5_2020_rp1000.tif,outputs\kuala_lumpur_ssp585_2020\coastal\rp_1000\coastal_severity_SSP5-8.5_2020_rp1000.tif,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
fluvial,2,SSP5-8.5,2020,0.6597,outputs\kuala_lumpur_ssp585_2020\fluvial\rp_2\fluvial_depth_SSP5-8.5_2020_rp2.tif,outputs\kuala_lumpur_ssp585_2020\fluvial\rp_2\fluvial_severity_SSP5-8.5_2020_rp2.tif,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
